,Sample,Actual_Control_CR,Actual_Treatment_CR,Round,Control_Clicks,Control_Sale,Control_CR,Treatment_Clicks,Treatment_Sale,Treatment_CR,Bayesian_Lift,Prob,Z-value,P-value,Freq_Lift
728,72,6.59%,6.18%,8,32195,2154,6.69%,32115,1977,6.16%,-8.0%,0.3%,2.764185609,0.005706507,-8.0%
729,72,6.59%,6.18%,9,26105,1640,6.28%,24074,1539,6.39%,1.8%,69.4%,-0.507501507,0.611802979,1.8%
730,73,5.35%,5.41%,0,45823,2455,5.36%,44453,2400,5.40%,0.8%,60.9%,-0.275605752,0.782850892,0.8%
731,73,5.35%,5.41%,1,39319,2173,5.53%,39284,2204,5.61%,1.5%,69.6%,-0.512501527,0.608300052,1.5%
732,73,5.35%,5.41%,2,8513,467,5.49%,8159,498,6.10%,11.2%,95.6%,-1.708066406,0.087624022,11.3%
733,73,5.35%,5.41%,3,42729,2353,5.51%,40338,2268,5.62%,2.1%,76.7%,-0.727076517,0.467179084,2.1%
734,73,5.35%,5.41%,4,33973,1798,5.29%,33405,1788,5.35%,1.1%,63.6%,-0.34720474,0.72843751,1.1%
735,73,5.35%,5.41%,5,5645,293,5.19%,5589,286,5.12%,-1.4%,43.0%,0.17554794,0.860649105,-1.4%
736,73,5.35%,5.41%,6,25885,1438,5.56%,27375,1478,5.40%,-2.8%,21.4%,0.792256362,0.428211211,-2.8%
737,73,5.35%,5.41%,7,36215,1958,5.41%,37138,2039,5.49%,1.5%,69.1%,-0.49952191,0.617411755,1.5%
738,73,5.35%,5.41%,8,46816,2563,5.47%,45613,2398,5.26%,-4.0%,7.1%,1.465878104,0.142681498,-4.0%
739,73,5.35%,5.41%,9,29810,1605,5.38%,31547,1684,5.34%,-0.9%,40.0%,0.253019642,0.800253035,-0.9%
740,74,4.46%,4.53%,0,48467,2168,4.47%,46963,2090,4.45%,-0.5%,43.2%,0.170807032,0.864375499,-0.5%
741,74,4.46%,4.53%,1,29056,1309,4.51%,28617,1310,4.58%,1.6%,66.2%,-0.418716745,0.675423156,1.6%
742,74,4.46%,4.53%,2,12415,590,4.75%,13011,586,4.50%,-5.2%,17.3%,0.942800813,0.345782796,-5.2%
743,74,4.46%,4.53%,3,25088,1099,4.38%,24718,1102,4.46%,1.8%,66.3%,-0.42190664,0.673093163,1.8%
744,74,4.46%,4.53%,4,7096,298,4.20%,6466,299,4.62%,10.1%,88.6%,-1.204018043,0.228582605,10.1%
745,74,4.46%,4.53%,5,13594,621,4.57%,12510,612,4.89%,7.1%,89.1%,-1.232341871,0.217821405,7.1%
746,74,4.46%,4.53%,6,681,29,4.26%,704,31,4.40%,3.2%,55.1%,-0.132484857,0.8946008,3.4%
747,74,4.46%,4.53%,7,3874,179,4.62%,3991,181,4.54%,-1.9%,42.8%,0.181055402,0.85632409,-1.8%
748,74,4.46%,4.53%,8,37340,1581,4.23%,39528,1835,4.64%,9.6%,99.7%,-2.744979059,0.006051476,9.6%
749,74,4.46%,4.53%,9,42072,1860,4.42%,42295,1965,4.65%,5.1%,94.2%,-1.57029051,0.116347541,5.1%
750,75,5.67%,5.57%,0,34981,2011,5.75%,39364,2146,5.45%,-5.2%,3.9%,1.760154451,0.078381623,-5.2%
751,75,5.67%,5.57%,1,19367,1129,5.83%,18346,1024,5.58%,-4.2%,15.0%,1.037124525,0.299677827,-4.3%
752,75,5.67%,5.57%,2,14871,856,5.76%,15543,821,5.28%,-8.2%,3.5%,1.810549551,0.070210608,-8.2%
753,75,5.67%,5.57%,3,5912,328,5.55%,5813,317,5.45%,-1.7%,41.1%,0.224969535,0.822002975,-1.7%
754,75,5.67%,5.57%,4,42858,2504,5.84%,41575,2312,5.56%,-4.8%,3.9%,1.763373945,0.077837441,-4.8%
755,75,5.67%,5.57%,5,34462,2013,5.84%,35775,2005,5.60%,-4.1%,8.8%,1.35059697,0.176824572,-4.1%
